Rail;Radius;Profile;Load;Condition;Gauge;month 1;month 2;month 3;month 4;month 5;month 6;month 7;month 8;month 9;month 10;month 11;month 12
Inner;1465;MB4;32,5;h-index;1440;0,3;0,3;0,3;0,3;0,3;0,3;0,345;0,405;0,465;0,525;0,57;0,63
Inner;1465;MB4;32,5;h-index;1445;0,3;0,3;0,3;0,3;0,3;0,3;0,36;0,42;0,48;0,54;0,6;0,66
Inner;1465;MB4;32,5;wear;1440;0,049;0,102;0,148;0,196;0,23;0,263;0,293;0,33;0,379;0,413;0,446;0,487
Inner;1465;MB4;32,5;wear;1445;0,056;0,104;0,16;0,2;0,248;0,293;0,333;0,378;0,419;0,453;0,49;0,53
Inner;1465;MB4;32,5;rcf-depth;1440;0,012;0,023;0,028;0,03;0,03;0,037;0,04;0,043;0,043;0,043;0,043;0,043
Inner;1465;MB4;32,5;rcf-depth;1445;0,009;0,018;0,031;0,037;0,039;0,041;0,044;0,047;0,047;0,047;0,047;0,047
Inner;1465;MB4;32,5;rcf-residual;1440;0;0;0;0;0;0;0;0;0;0;0;0
Inner;1465;MB4;32,5;rcf-residual;1445;0;0;0;0;0;0;0;0;0;0;0;0
High;1465;MB4;32,5;H-index;1440;0,3;0,3;0,3;0,3;0,3;0,3;0,345;0,405;0,465;0,525;0,57;0,63
High;1465;MB4;32,5;H-index;1445;0,3;0,3;0,3;0,3;0,3;0,3;0,36;0,42;0,48;0,54;0,6;0,66
High;1465;MB4;32,5;Wear;1440;0,104;0,172;0,228;0,277;0,32;0,354;0,395;0,427;0,452;0,483;0,525;0,566
High;1465;MB4;32,5;Wear;1445;0,111;0,184;0,237;0,287;0,33;0,37;0,403;0,442;0,475;0,513;0,543;0,58
High;1465;MB4;32,5;rcf-depth;1440;0,005;0,007;0,007;0,007;0,007;0,007;0,007;0,007;0,007;0,007;0,007;0,007
High;1465;MB4;32,5;rcf-depth;1445;0,011;0,011;0,011;0,011;0,011;0,011;0,011;0,011;0,011;0,011;0,011;0,011
High;1465;MB4;32,5;rcf-residual;1440;0;0;0;0;0;0;0;0;0;0;0;0
High;1465;MB4;32,5;rcf-residual;1445;0;0;0;0;0;0;0;0;0;0;0;0
